"","X","IDp","IDf","IDm","sex","byear","dyear","cregcode","sregcode","lifespan","afr","lrs","bcohort.20","bcohort.10","predicted_lifespan","is.dyear.known","dyear.predicted","migrantstatus","afr_5thp","afr_median","arryear","depyear","presence_duration"
"9442",30465,"P0000033964","P0000033596","P0000033646","F",1891,NA,"GL03","GL03",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1955.04374572796,"resident_married",19.3837320574163,24.6534518113465,1891,1955,64
"9443",30466,"P0000033965",NA,NA,"F",1857,NA,NA,"GL03",NA,17.9302802460697,NA,"(1.85e+03,1.87e+03]","(1.85e+03,1.86e+03]",38.107997265892,"no:dyear_missing",1895.10799726589,"immigrant",19.298017771702,23.6418318523582,1875,1895,20
"9444",30467,"P0000033966","P0000033593","P0000033965","M",1875,NA,"GL03",NA,NA,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",46.1216678058783,"no:dyear_missing",1921.12166780588,"emigrant_assumed_to_outside_glarus",21.6992481203008,27.5434039644566,1875,1897,22
"9445",30468,"P0000033967","P0000033593","P0000033965","F",1877,NA,"GL03",NA,NA,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",42.3021189336979,"no:dyear_missing",1919.3021189337,"emigrant_assumed_to_outside_glarus",19.1501025290499,24.2802460697198,1877,1896,19
"9446",30469,"P0000033968","P0000033593","P0000033965","M",1878,1878,"GL03",NA,0.79835953520164,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",46.1216678058783,"yes",1878,"died_in_childhood",21.6992481203008,27.5434039644566,1878,1878,0
"9447",30470,"P0000033969","P0000033593","P0000033965","F",1879,NA,"GL03",NA,NA,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"no:dyear_missing",1940.67053998633,"emigrant_assumed_to_outside_glarus",19.1501025290499,24.2802460697198,1879,1898,19
"9448",30471,"P0000033970","P0000033593","P0000033965","M",1880,1898,"GL03",NA,17.5666438824334,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"yes",1898,"died_in_childhood",21.6992481203008,27.5434039644566,1880,1898,18
"9449",30472,"P0000033971","P0000033593","P0000033965","F",1881,1964,"GL03",NA,82.3048530416952,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"yes",1964,"resident_assumed_unmarried",19.1501025290499,24.2802460697198,1881,1964,83
"9450",30473,"P0000033972","P0000033593","P0000033965","M",1882,1886,"GL03",NA,3.85509227614491,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"yes",1886,"died_in_childhood",21.6992481203008,27.5434039644566,1882,1886,4
"9451",30474,"P0000033973","P0000033593","P0000033965","F",1883,NA,"GL03",NA,NA,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"no:dyear_missing",1944.67053998633,"emigrant_assumed_to_outside_glarus",19.1501025290499,24.2802460697198,1883,1902,19
